city,state,has_wikipedia,wiki_len,matched_news_city,media_count
agartala,tripura,True,30333,"agartala, tripura",1.0
agra,uttar pradesh,True,51925,"agra, uttar pradesh",88.0
ahmedabad,gujarat,True,45827,"ahmedabad, gujarat",239.0
aizawl,mizoram,True,15347,"aizawl, mizoram",1.0
ajmer,rajasthan,True,16162,"ajmer, rajasthan",3.0
alwar,rajasthan,True,12633,,0.0
amaravati,andhra pradesh,True,18937,"amaravati, andhra pradesh",7.0
ambala,haryana,True,10731,,0.0
amritsar,punjab,True,17058,"amritsar, punjab",43.0
anantapur,andhra pradesh,True,7302,"anantapur, andhra pradesh",2.0
ankleshwar,gujarat,True,1725,,0.0
araria,bihar,True,6236,,0.0
ariyalur,tamil nadu,True,10949,"ariyalur, tamil nadu",1.0
arrah,bihar,True,37775,,0.0
asansol,west bengal,True,14380,,0.0
aurangabad,bihar,True,24245,,0.0
aurangabad,maharashtra,True,24245,"aurangabad, maharashtra",39.0
baddi,himachal pradesh,True,2365,,0.0
bagalkot,karnataka,True,2132,,0.0
baghpat,uttar pradesh,True,2689,,0.0
bahadurgarh,haryana,True,7109,,0.0
ballabgarh,haryana,True,10775,,0.0
bareilly,uttar pradesh,True,40246,"bareilly, uttar pradesh",41.0
baripada,odisha,True,19351,,0.0
bathinda,punjab,True,7605,,0.0
begusarai,bihar,True,21220,,0.0
belgaum,karnataka,True,18323,,0.0
bengaluru,karnataka,True,57436,"bengaluru, karnataka",537.0
bettiah,bihar,True,10645,,0.0
bhagalpur,bihar,True,18709,,0.0
bhilai,chhattisgarh,True,6971,,0.0
bhiwadi,rajasthan,True,3712,,0.0
bhiwani,haryana,True,8419,,0.0
bhopal,madhya pradesh,True,39315,"bhopal, madhya pradesh",74.0
bihar sharif,bihar,True,16150,,0.0
bilaspur,chhattisgarh,True,31658,,0.0
bileipada,odisha,True,306,,0.0
brajrajnagar,odisha,True,10211,,0.0
bulandshahr,uttar pradesh,True,8387,,0.0
byrnihat,assam,False,0,,0.0
chamarajanagar,karnataka,True,3194,,0.0
chandigarh,chandigarh,True,35757,"chandigarh, chandigarh",621.0
chandrapur,maharashtra,True,14137,,0.0
charkhi dadri,haryana,True,9048,,0.0
chennai,tamil nadu,True,49896,"chennai, tamil nadu",488.0
chhal,chhattisgarh,False,0,,0.0
chhapra,bihar,True,2981,,0.0
chikkaballapur,karnataka,True,6866,,0.0
chikkamagaluru,karnataka,True,3473,,0.0
chittoor,andhra pradesh,True,11176,"chittoor, andhra pradesh",1.0
damoh,madhya pradesh,True,6446,,0.0
davanagere,karnataka,True,5052,,0.0
dehradun,uttarakhand,True,47768,"dehradun, uttarakhand",32.0
delhi,delhi,True,52514,"delhi, delhi",5285.0
dewas,madhya pradesh,True,11930,,0.0
dharuhera,haryana,True,4536,,0.0
dharwad,karnataka,True,14555,,0.0
durgapur,west bengal,True,22113,,0.0
eloor,kerala,True,3447,,0.0
faridabad,haryana,True,16135,"faridabad, haryana",51.0
fatehabad,haryana,True,2401,"fatehabad, haryana",1.0
firozabad,uttar pradesh,True,13392,,0.0
gadag,karnataka,True,3624,,0.0
gandhinagar,gujarat,True,4823,"gandhinagar, gujarat",1.0
gangtok,sikkim,True,25660,,0.0
gaya,bihar,True,17234,"gaya, bihar",2.0
ghaziabad,uttar pradesh,True,13050,"ghaziabad, uttar pradesh",86.0
gorakhpur,uttar pradesh,True,23236,,0.0
greater noida,uttar pradesh,True,13807,,0.0
gummidipoondi,tamil nadu,True,1302,,0.0
gurugram,haryana,True,21854,"gurugram, haryana",849.0
guwahati,assam,True,30450,"guwahati, assam",39.0
gwalior,madhya pradesh,True,51350,,0.0
hajipur,bihar,True,18504,,0.0
haldia,west bengal,True,5538,,0.0
hapur,uttar pradesh,True,3574,,0.0
hassan,karnataka,True,2738,"hassan, karnataka",5.0
haveri,karnataka,True,1891,,0.0
hisar,haryana,True,20574,,0.0
hosur,tamil nadu,True,9229,,0.0
howrah,west bengal,True,13108,,0.0
hubballi,karnataka,True,14686,"hubballi, karnataka",30.0
hyderabad,telangana,True,57596,"hyderabad, telangana",386.0
indore,madhya pradesh,True,45890,"indore, madhya pradesh",41.0
jabalpur,madhya pradesh,True,21996,,0.0
jaipur,rajasthan,True,24748,"jaipur, rajasthan",121.0
jalandhar,punjab,True,12414,,0.0
jhansi,uttar pradesh,True,32155,,0.0
jind,haryana,True,4015,,0.0
jodhpur,rajasthan,True,27599,"jodhpur, rajasthan",2.0
kadapa,andhra pradesh,True,10710,"kadapa, andhra pradesh",1.0
kaithal,haryana,True,16789,,0.0
