district,mpi,state
Anantapur,0.027,Andhra Pradesh
Chittoor,0.022,Andhra Pradesh
East Godavari,0.027,Andhra Pradesh
Guntur,0.016,Andhra Pradesh
Krishna,0.017,Andhra Pradesh
Kurnool,0.054,Andhra Pradesh
Prakasam,0.027,Andhra Pradesh
SPSR Nellore,0.023,Andhra Pradesh
Srikakulam,0.022,Andhra Pradesh
Visakhapatanam,0.031,Andhra Pradesh
Vizianagaram,0.035,Andhra Pradesh
West Godavari,0.01,Andhra Pradesh
Y.S.R. (Kadapa),0.013,Andhra Pradesh
Anjaw,0.057,Arunachal Pradesh
Changlang,0.063,Arunachal Pradesh
Dibang Valley,0.043,Arunachal Pradesh
East Kameng,0.095,Arunachal Pradesh
East Siang,0.033,Arunachal Pradesh
Kra Daadi,0.083,Arunachal Pradesh
Kurung Kumey,0.045,Arunachal Pradesh
Lohit,0.053,Arunachal Pradesh
Longding,0.092,Arunachal Pradesh
Lower Dibang Valley,0.037,Arunachal Pradesh
Lower Subansiri,0.025,Arunachal Pradesh
Namsai,0.101,Arunachal Pradesh
Papum Pare,0.06,Arunachal Pradesh
Siang,0.036,Arunachal Pradesh
Tawang,0.035,Arunachal Pradesh
Tirap,0.067,Arunachal Pradesh
Upper Siang,0.035,Arunachal Pradesh
Upper Subansiri,0.083,Arunachal Pradesh
West Kameng,0.019,Arunachal Pradesh
West Siang,0.058,Arunachal Pradesh
Baksa,0.064,Assam
Barpeta,0.083,Assam
Biswanath,0.102,Assam
Bongaigaon,0.075,Assam
Cachar,0.14,Assam
Charaideo,0.095,Assam
Chirang,0.071,Assam
Darrang,0.1,Assam
Dhemaji,0.056,Assam
Dhubri,0.116,Assam
Dibrugarh,0.056,Assam
Dima Hasao,0.061,Assam
Goalpara,0.081,Assam
Golaghat,0.065,Assam
Hailakandi,0.164,Assam
Hojai,0.059,Assam
Jorhat,0.051,Assam
Kamrup,0.053,Assam
Kamrup Metro,0.024,Assam
Karbi Anglong,0.068,Assam
Karimganj,0.153,Assam
Kokrajhar,0.083,Assam
Lakhimpur,0.061,Assam
Majuli,0.056,Assam
Marigaon,0.1,Assam
Nagaon,0.093,Assam
Nalbari,0.049,Assam
Sivasagar,0.044,Assam
Sonitpur,0.09,Assam
South Salmara Mancachar,0.131,Assam
Tinsukia,0.081,Assam
Udalguri,0.082,Assam
West Karbi Anglong,0.107,Assam
Balod,0.022,Chhattisgarh
Baloda Bazar,0.066,Chhattisgarh
Balrampur,0.143,Chhattisgarh
Bastar,0.159,Chhattisgarh
Bemetara,0.07,Chhattisgarh
Bijapur,0.262,Chhattisgarh
Bilaspur,0.068,Chhattisgarh
Dantewada,0.135,Chhattisgarh
Dhamtari,0.023,Chhattisgarh
Durg,0.014,Chhattisgarh
Gariyaband,0.072,Chhattisgarh
Janjgir-Champa,0.046,Chhattisgarh
Jashpur,0.107,Chhattisgarh
Kabirdham,0.057,Chhattisgarh
Kondagaon,0.117,Chhattisgarh
Korba,0.077,Chhattisgarh
Korea,0.085,Chhattisgarh
Mahasamund,0.051,Chhattisgarh
Mungeli,0.066,Chhattisgarh
Narayanpur,0.183,Chhattisgarh
Raigarh,0.08,Chhattisgarh
Raipur,0.036,Chhattisgarh
Rajnandgaon,0.043,Chhattisgarh
Sukma,0.205,Chhattisgarh
Surajpur,0.095,Chhattisgarh
Surguja,0.107,Chhattisgarh
"Uttar Bastar Kanker
(Kanker)",0.055,Chhattisgarh
Ahmedabad,0.022,Gujarat
Amreli,0.03,Gujarat
Anand,0.044,Gujarat
Arvalli,0.08,Gujarat
Banas Kantha,0.11,Gujarat
Bharuch,0.051,Gujarat
Bhavnagar,0.053,Gujarat
Botad,0.043,Gujarat
Chhotaudepur,0.116,Gujarat
Dang,0.113,Gujarat
Devbhumi Dwarka,0.078,Gujarat
Dohad,0.174,Gujarat
Gandhinagar,0.023,Gujarat
Gir Somnath,0.037,Gujarat
Jamnagar,0.031,Gujarat
Junagadh,0.03,Gujarat
Kachchh,0.047,Gujarat
Kheda,0.07,Gujarat
Mahesana,0.04,Gujarat
Mahisagar,0.068,Gujarat
Morbi,0.036,Gujarat
Narmada,0.099,Gujarat
Navsari,0.02,Gujarat
Panch Mahals,0.076,Gujarat
Patan,0.054,Gujarat
Porbandar,0.016,Gujarat
Rajkot,0.016,Gujarat
Sabar Kantha,0.095,Gujarat
Surat,0.022,Gujarat
Surendranagar,0.048,Gujarat
Tapi,0.07,Gujarat
Vadodara,0.027,Gujarat
Valsad,0.034,Gujarat
Ambala,0.016,Haryana
Bhiwani,0.026,Haryana
Charki Dadri,0.012,Haryana
Faridabad,0.032,Haryana
Fatehabad,0.031,Haryana
Gurugram,0.013,Haryana
Hisar,0.023,Haryana
Jhajjar,0.013,Haryana
Jind,0.029,Haryana
Kaithal,0.015,Haryana
Karnal,0.014,Haryana
Kurukshetra,0.018,Haryana
Mahendragarh,0.02,Haryana
Nuh (Mewat),0.195,Haryana
Palwal,0.068,Haryana
Panchkula,0.006,Haryana
Panipat,0.03,Haryana
Rewari,0.012,Haryana
Rohtak,0.02,Haryana
Sirsa,0.029,Haryana
Sonipat,0.016,Haryana
Yamunanagar,0.019,Haryana
Bilaspur,0.02,Himachal Pradesh
Chamba,0.04,Himachal Pradesh
Hamirpur,0.02,Himachal Pradesh
Kangra,0.017,Himachal Pradesh
Kinnaur,0.016,Himachal Pradesh
Kullu,0.028,Himachal Pradesh
Lahul and Spiti,0.029,Himachal Pradesh
Mandi,0.017,Himachal Pradesh
Shimla,0.013,Himachal Pradesh
Sirmaur,0.024,Himachal Pradesh
Solan,0.016,Himachal Pradesh
Una,0.023,Himachal Pradesh
Bokaro,0.067,Jharkhand
Chatra,0.177,Jharkhand
Deoghar,0.177,Jharkhand
Dhanbad,0.074,Jharkhand
Dumka,0.178,Jharkhand
Garhwa,0.16,Jharkhand
Giridih,0.133,Jharkhand
Godda,0.168,Jharkhand
Gumla,0.137,Jharkhand
Hazaribagh,0.11,Jharkhand
Jamtara,0.129,Jharkhand
Khunti,0.152,Jharkhand
Koderma,0.121,Jharkhand
Latehar,0.189,Jharkhand
Lohardaga,0.099,Jharkhand
Pakur,0.244,Jharkhand
Palamu,0.144,Jharkhand
"Pashchimi Singhbhum
(West Singhbhum)",0.241,Jharkhand
"Purbi Singhbhum
(East Singhbhum)",0.065,Jharkhand
Ramgarh,0.077,Jharkhand
Ranchi,0.065,Jharkhand
Sahebganj,0.243,Jharkhand
Saraikela-Kharsawan,0.103,Jharkhand
Simdega,0.139,Jharkhand
Bagalkote,0.044,Karnataka
"Bangalore
(Bengaluru Urban)",0.007,Karnataka
"Bangalore Rural
(Bengaluru Rural )",0.004,Karnataka
Belagavi,0.037,Karnataka
Bellary (Ballari),0.052,Karnataka
Bidar,0.045,Karnataka
Bijapur (Vijayapura),0.068,Karnataka
Chamarajanagara,0.021,Karnataka
Chikkaballapura,0.014,Karnataka
Chikkamagaluru,0.015,Karnataka
Chitradurga,0.023,Karnataka
Dakshina Kannada,0.006,Karnataka
Davangere,0.023,Karnataka
Dharwad,0.022,Karnataka
Gadag,0.062,Karnataka
Gulbarga (Kalaburagi),0.075,Karnataka
Hassan,0.009,Karnataka
Haveri,0.045,Karnataka
Kodagu,0.018,Karnataka
Kolar,0.007,Karnataka
Koppal,0.078,Karnataka
Mandya,0.009,Karnataka
Mysuru,0.008,Karnataka
Raichur,0.09,Karnataka
Ramanagara,0.004,Karnataka
Shivamogga,0.013,Karnataka
Tumakuru,0.017,Karnataka
Udupi,0.015,Karnataka
Uttara Kannada,0.018,Karnataka
Yadgir,0.116,Karnataka
Alappuzha,0.0,Kerala
Ernakulam,0.0,Kerala
Idukki,0.004,Kerala
Kannur,0.0,Kerala
Kasaragod,0.006,Kerala
Kollam,0.0,Kerala
Kottayam,0.001,Kerala
Kozhikode,0.002,Kerala
Malappuram,0.003,Kerala
Palakkad,0.005,Kerala
Pathanamthitta,0.001,Kerala
Thiruvananthapuram,0.002,Kerala
Thrissur,0.0,Kerala
Wayanad,0.011,Kerala
Agar Malwa,0.062,Madhya Pradesh
Alirajpur,0.192,Madhya Pradesh
Anuppur,0.082,Madhya Pradesh
Ashoknagar,0.119,Madhya Pradesh
Balaghat,0.055,Madhya Pradesh
Barwani,0.167,Madhya Pradesh
Betul,0.093,Madhya Pradesh
Bhind,0.076,Madhya Pradesh
Bhopal,0.031,Madhya Pradesh
Burhanpur,0.086,Madhya Pradesh
Chhatarpur,0.116,Madhya Pradesh
Chhindwara,0.06,Madhya Pradesh
Damoh,0.12,Madhya Pradesh
Datia,0.065,Madhya Pradesh
Dewas,0.054,Madhya Pradesh
Dhar,0.077,Madhya Pradesh
Dindori,0.145,Madhya Pradesh
Guna,0.105,Madhya Pradesh
Gwalior,0.041,Madhya Pradesh
Harda,0.058,Madhya Pradesh
"Hoshangabad
(Narmadapuram)",0.062,Madhya Pradesh
Indore,0.023,Madhya Pradesh
Jabalpur,0.057,Madhya Pradesh
Jhabua,0.243,Madhya Pradesh
Katni,0.091,Madhya Pradesh
Khandwa (East Nimar),0.067,Madhya Pradesh
Khargone (West Nimar),0.082,Madhya Pradesh
Mandla,0.119,Madhya Pradesh
Mandsaur,0.074,Madhya Pradesh
Morena,0.099,Madhya Pradesh
Narsinghpur,0.063,Madhya Pradesh
Neemuch,0.041,Madhya Pradesh
Panna,0.143,Madhya Pradesh
Raisen,0.057,Madhya Pradesh
Rajgarh,0.107,Madhya Pradesh
Ratlam,0.091,Madhya Pradesh
Rewa,0.133,Madhya Pradesh
Sagar,0.092,Madhya Pradesh
Satna,0.08,Madhya Pradesh
Sehore,0.049,Madhya Pradesh
Seoni,0.094,Madhya Pradesh
Shahdol,0.099,Madhya Pradesh
Shajapur,0.058,Madhya Pradesh
Sheopur,0.183,Madhya Pradesh
Shivpuri,0.126,Madhya Pradesh
Sidhi,0.145,Madhya Pradesh
Singrauli,0.144,Madhya Pradesh
Tikamgarh,0.089,Madhya Pradesh
Ujjain,0.061,Madhya Pradesh
Umaria,0.098,Madhya Pradesh
Vidisha,0.102,Madhya Pradesh
Ahmednagar,0.027,Maharashtra
Akola,0.024,Maharashtra
Amravati,0.033,Maharashtra
Aurangabad,0.039,Maharashtra
Bhandara,0.022,Maharashtra
Bid (Beed),0.051,Maharashtra
Buldhana,0.037,Maharashtra
